Server,"Health Check",Static,"Http Request"
Swoole,2.5484544181824,2.6895106697083,2.8415621471405
RoadRunner,1.1244118213654,1.7372357559204,2.1061319732666
FrankenPHP,2.2804004001617,3.0365694618225,3.3112324142456
